ID,Court Number 1,Court Number 2,Court Number 3,Court Number 4,Case Type,Jury Sworn Date,Trial End Date,Co-Defendant,Trial Length Days,Convicted,Concluded,Trial Outcome,Crime Description
1491,19006347,,,,Misdemeanor,2019/12/16,2019/12/19,N,3,Convicted,Concluded,Convicted,DUI
1492,19014609,,,,Misdemeanor,2019/12/16,2019/12/19,N,3,Not Convicted,Concluded,Not Convicted,DUI
1493,19014609,,,,Misdemeanor,2019/12/17,2019/12/19,N,2,Not Convicted,Concluded,Not Convicted,DUI
1498,19016943,,,,Misdemeanor,2019/12/17,2020/01/07,N,21,Convicted,Concluded,Convicted,Assault-Misdemean
1499,19013095,,,,Felony,2019/12/20,2020/01/08,N,19,Convicted,Concluded,Convicted,Assault-Felony
1496,19017179,,,,Misdemeanor,2019/12/26,2019/12/30,N,4,Convicted,Concluded,Convicted,Assault-Misdemean
1497,19017359,,,,Felony,2019/12/27,2020/01/06,N,10,Not Convicted,Concluded,Not Convicted,Robbery 2nd Degre
1500,19013095,,,,Felony,2019/12/30,2020/01/08,N,9,Convicted,Concluded,Convicted,Assault-Felony
1506,19013938,,,,Felony,2019/12/30,2020/01/27,N,28,Not Convicted,Not Concluded,Mistrial,Sexual Assault
1502,19013814,,,,Felony,2020/01/06,2020/01/15,N,9,Not Convicted,Not Concluded,Mistrial,Auto Theft
1501,19005957,,,,Felony,2020/01/08,2020/01/14,N,6,Convicted,Concluded,Convicted,Burglary-Auto
1503,19008435,,,,Felony,2020/01/09,2020/01/21,N,12,Convicted,Concluded,Convicted,Burglary-Resident
1505,19013938,,,,Felony,2020/01/09,2020/01/27,N,18,Not Convicted,Not Concluded,Mistrial,Sexual Assault
1504,15010824,,,,Felony,2020/01/16,2020/01/23,N,7,Not Convicted,Not Concluded,Mistrial,Gun-Felony
1507,19016548,,,,Misdemeanor,2020/01/22,2020/01/28,N,6,Convicted,Concluded,Convicted,Stay Away Violati
1510,16019096,,,,Felony,2020/01/22,2020/02/10,N,19,Convicted,Concluded,Convicted,Assault-Felony
1508,2501949,,,,Misdemeanor,2020/01/27,2020/01/30,N,3,Not Convicted,Concluded,Not Convicted,Vehicular Homicid
1509,15004295,,,,Felony,2020/01/29,2020/02/03,N,5,Not Convicted,Not Concluded,Mistrial,Sexual Assault
1512,19014823,,,,Felony,2020/02/03,2020/02/14,N,11,Convicted,Concluded,Convicted,Burglary-Auto
1511,2517010,,,,Misdemeanor,2020/02/05,2020/02/11,N,6,Not Convicted,Not Concluded,Mistrial,DUI
1515,19007983,,,,Felony,2020/02/07,2020/02/25,N,18,Not Convicted,Concluded,Not Convicted,Assault-Felony
1520,17005837,,,,Felony,2020/02/10,2020/03/03,N,22,Convicted,Concluded,Convicted,Sexual Assault
1513,19008968,,,,Misdemeanor,2020/02/11,2020/02/21,N,10,Not Convicted,Concluded,Not Convicted,DUI
1514,2517213,,,,Misdemeanor,2020/02/11,2020/02/24,N,13,Not Convicted,Concluded,Not Convicted,DUI
1519,19015800,,,,Felony,2020/02/19,2020/03/03,N,13,Convicted,Concluded,Convicted,Assault-Felony
